Encuesta | Encuesta | Encuesta,Fecha | Fecha | Fecha,Unnamed: 2_level_0 | Jara UpCh | Unnamed: 2_level_2,Unnamed: 3_level_0 | Kast PRCh | Unnamed: 3_level_2,NS/NR | NS/NR | NS/NR,_heading,Encuesta | Encuesta,Fecha | Fecha,Jara UpCh | Unnamed: 2_level_1,ME-O Ind. | Unnamed: 3_level_1,No votaría | No votaría,NS/NR | NS/NR,Parisi PDG | Unnamed: 3_level_1,Matthei ChV | Unnamed: 3_level_1,Kaiser PNL | Unnamed: 3_level_1,Mayne-Nicholls Ind. | Unnamed: 3_level_1,Kaiser PNL | Unnamed: 2_level_1,Matthei ChV | Unnamed: 2_level_1,Kast PRCh | Unnamed: 3_level_1,ME-O Ind. | Unnamed: 2_level_1,Parisi PDG | Unnamed: 2_level_1
,,,,,Segunda vuelta,Panel Ciudadano[74],29–30 Jun 2025,32%,,24%,24%,,44%,,,,,,,
,,,,,Segunda vuelta,Cadem[75],25–27 Jun 2025,31%,,9%,10%,,50%,,,,,,,
,,,,,Segunda vuelta,LCN[76],13–21 Jun 2025,"40,1%",,—,—,,"59,9%",,,,,,,
,,,,,Segunda vuelta,LCN[139],18–24 May 2025,"38,0%",,—,—,,"62,0%",,,,,,,
,,,,,Segunda vuelta,Cadem[77],7–9 May 2025,24%,,0%,22%,,54%,,,,,,,
,,,,,Segunda vuelta,LCN[153],14–23 Abr 2025,"41,2%",,—,—,,"58,8%",,,,,,,
,,,,,Segunda vuelta,Cadem[165],26–28 Mar 2025,20%,,1%,19%,,60%,,,,,,,
,,,,,Segunda vuelta,Cadem[175],5–7 Mar 2025,17%,,2%,25%,,56%,,,,,,,
,,,,,Segunda vuelta,Cadem[183],5–7 Feb 2025,20%,,1%,25%,,54%,,,,,,,
,,,,,Segunda vuelta,Atlas Intel[20],25–30 Oct 2025,41%,,13%,13%,,,46%,,,,,,
,,,,,Segunda vuelta,Criteria[21],27–29 Oct 2025,34%,,25%,25%,,,41%,,,,,,
,,,,,Segunda vuelta,LCN[22],19–28 Oct 2025,45%,,—,—,,,55%,,,,,,
,,,,,Segunda vuelta,Cadem[23],22–24 Oct 2025,36%,,23%,23%,,,41%,,,,,,
,,,,,Segunda vuelta,Criteria[25],21–23 Oct 2025,36%,,27%,27%,,,37%,,,,,,
,,,,,Segunda vuelta,Atlas Intel[27],15–19 Oct 2025,41%,,15%,15%,,,45%,,,,,,
,,,,,Segunda vuelta,Cadem[30],15–17 Oct 2025,35%,,25%,25%,,,40%,,,,,,
,,,,,Segunda vuelta,Criteria[31],14–17 Oct 2025,36%,,28%,—,,,36%,,,,,,
,,,,,Segunda vuelta,LCN[33],3–13 Oct 2025,"45,5%",,—,—,,,"54,5%",,,,,,
,,,,,Segunda vuelta,Cadem[35],8–10 Oct 2025,39%,,22%,22%,,,39%,,,,,,
,,,,,Segunda vuelta,Criteria[36],7–9 Oct 2025,35%,,33%,—,,,32%,,,,,,
,,,,,Segunda vuelta,Criteria[39],30 Sep–2 Oct 2025,37%,,28%,—,,,35%,,,,,,
,,,,,Segunda vuelta,LCN[41],17–26 Sep 2025,"47,0%",,—,—,,,"53,0%",,,,,,
,,,,,Segunda vuelta,Criteria[42],23–25 Sep 2025,38%,,28%,—,,,34%,,,,,,
,,,,,Segunda vuelta,Criteria[44],15–17 Sep 2025,36%,,32%,—,,,32%,,,,,,
,,,,,Segunda vuelta,Cadem,10–12 Sep 2025,33%,,35%,35%,,,32%,,,,,,
,,,,,Segunda vuelta,LCN[46],2–12 Sep 2025,"47,5%",,—,—,,,"52,5%",,,,,,
,,,,,Segunda vuelta,Criteria[47],11 Sep 2025,36%,,30%,—,,,34%,,,,,,
,,,,,Segunda vuelta,Cadem[49],3–5 Sep 2025,33%,,36%,36%,,,31%,,,,,,
,,,,,Segunda vuelta,LCN[53],16–28 Ago 2025,"46,2%",,—,—,,,"53,8%",,,,,,
